"model" "year" "price" "transmission" "mileage" "fuelType" "tax" "mpg" "engineSize"
"2" " Focus" 2018 14000 "Manual" 9083 "Petrol" 150 57.7 1
"4" " Fiesta" 2019 17500 "Manual" 10460 "Petrol" 145 40.3 1.5
"5" " Fiesta" 2019 16500 "Automatic" 1482 "Petrol" 145 48.7 1
"7" " Puma" 2019 22500 "Manual" 2029 "Petrol" 145 50.4 1
"9" " Kuga" 2019 25500 "Automatic" 6894 "Diesel" 145 42.2 2
"10" " Focus" 2018 10000 "Manual" 48141 "Petrol" 145 61.4 1
"11" " Fiesta" 2018 11561 "Manual" 18803 "Petrol" 145 56.5 1
"12" " EcoSport" 2018 13500 "Manual" 12065 "Petrol" 145 54.3 1
"14" " Kuga" 2018 17999 "Semi-Auto" 9002 "Diesel" 145 54.3 2
"15" " Kuga" 2018 18999 "Semi-Auto" 8970 "Diesel" 145 58.9 1.5
"16" " Kuga" 2018 14399 "Manual" 12810 "Diesel" 145 64.2 1.5
"17" " Kuga" 2019 17999 "Manual" 10428 "Diesel" 145 38.2 2
"18" " Kuga" 2018 16899 "Manual" 14680 "Diesel" 145 54.3 2
"20" " Fiesta" 2019 12500 "Manual" 25521 "Petrol" 145 55.4 1
"21" " Fiesta" 2018 9499 "Manual" 20400 "Petrol" 145 55.4 1.1
"27" " C-MAX" 2018 11799 "Manual" 23800 "Diesel" 145 68.9 1.5
"29" " Fiesta" 2018 12499 "Manual" 8700 "Petrol" 145 58.9 1
"33" " Focus" 2019 18990 "Manual" 8400 "Petrol" 145 60.1 1
"35" " Kuga" 2018 15287 "Semi-Auto" 33149 "Diesel" 145 58.9 1.5
"36" " Mondeo" 2019 20000 "Manual" 24 "Diesel" 145 65.7 2
"37" " EcoSport" 2020 20000 "Manual" 558 "Petrol" 145 53.3 1
"38" " Kuga" 2019 21378 "Manual" 3259 "Diesel" 145 39.2 2
"39" " Fiesta" 2018 9814 "Manual" 15100 "Petrol" 145 65.7 1
"40" " Ka+" 2018 8261 "Manual" 25000 "Petrol" 145 57.7 1.2
"42" " Fiesta" 2018 12251 "Manual" 8920 "Petrol" 145 58.9 1
"44" " Fiesta" 2019 13140 "Manual" 7 "Petrol" 145 48.7 1.1
"45" " Fiesta" 2018 10491 "Semi-Auto" 43019 "Petrol" 145 48.7 1
"48" " Fiesta" 2019 13540 "Manual" 6923 "Petrol" 145 58.9 1
"49" " Focus" 2019 17970 "Manual" 10985 "Diesel" 145 74.3 1.5
"52" " Ka+" 2019 8995 "Manual" 5122 "Petrol" 145 43.5 1.2
"53" " Ka+" 2019 8495 "Manual" 32 "Petrol" 145 48.7 1.2
"55" " Focus" 2019 14495 "Manual" 8131 "Petrol" 145 58.9 1
"56" " Tourneo Custom" 2018 19995 "Automatic" 24568 "Diesel" 145 31.7 2
"58" " Focus" 2019 17995 "Manual" 11496 "Diesel" 145 57.6 2
"60" " Kuga" 2018 16995 "Automatic" 7189 "Diesel" 145 58.9 1.5
"61" " Kuga" 2018 16495 "Manual" 29428 "Diesel" 145 54.3 1.5
"62" " Kuga" 2018 17998 "Manual" 12162 "Petrol" 145 39.2 1.5
"64" " Focus" 2019 17498 "Manual" 2714 "Petrol" 150 49.6 1
"67" " Kuga" 2019 17698 "Manual" 4844 "Petrol" 145 34.4 1.5
"73" " Kuga" 2019 18760 "Manual" 10237 "Petrol" 145 39.2 1.5
"82" " Fiesta" 2018 9498 "Manual" 30925 "Petrol" 145 65.7 1
"83" " Focus" 2018 13698 "Manual" 13418 "Petrol" 145 58.9 1
"84" " Fiesta" 2018 13298 "Manual" 13756 "Petrol" 145 58.9 1
"87" " Fiesta" 2019 12698 "Manual" 12130 "Petrol" 145 56.5 1
"88" " Fiesta" 2019 11998 "Manual" 17354 "Petrol" 145 56.5 1
"89" " Fiesta" 2019 13498 "Manual" 15822 "Petrol" 145 58.9 1
"90" " Fiesta" 2019 13498 "Manual" 10557 "Petrol" 145 58.9 1
"94" " Fiesta" 2018 12995 "Manual" 14979 "Petrol" 145 58.9 1
"97" " Fiesta" 2019 13895 "Manual" 13600 "Petrol" 145 58.9 1
"98" " Focus" 2018 18298 "Manual" 21456 "Diesel" 145 67.3 2
"102" " Kuga" 2018 18498 "Manual" 7796 "Diesel" 145 54.3 1.5
"112" " Kuga" 2019 19495 "Manual" 13673 "Diesel" 145 47.9 2
"113" " Fiesta" 2018 9995 "Manual" 25776 "Petrol" 145 65.7 1
"118" " Kuga" 2018 16698 "Manual" 5117 "Diesel" 145 54.3 1.5
"121" " Fiesta" 2018 12495 "Manual" 12426 "Petrol" 145 65.7 1
"123" " Puma" 2020 21995 "Manual" 4111 "Petrol" 145 50.4 1
"124" " Kuga" 2018 16995 "Manual" 34690 "Diesel" 145 60.1 2
"125" " Fiesta" 2018 11995 "Manual" 32168 "Petrol" 145 65.7 1
"126" " Kuga" 2019 19995 "Manual" 11312 "Diesel" 145 47.9 2
"129" " EcoSport" 2018 14698 "Manual" 6442 "Petrol" 145 54.3 1
"131" " Focus" 2018 14495 "Manual" 17030 "Petrol" 145 57.7 1
"138" " Kuga" 2019 19995 "Manual" 16000 "Diesel" 150 47.9 2
"140" " Grand C-MAX" 2018 13495 "Manual" 1030 "Petrol" 145 47.9 1
"142" " Focus" 2018 12995 "Manual" 9781 "Petrol" 145 60.1 1
"143" " EcoSport" 2018 12998 "Manual" 17241 "Petrol" 145 54.3 1
"146" " Focus" 2018 11298 "Semi-Auto" 37880 "Diesel" 150 74.3 1.5
"148" " Focus" 2018 15995 "Manual" 10500 "Petrol" 145 60.1 1
"150" " Fiesta" 2019 13950 "Manual" 6700 "Petrol" 145 58.9 1
"154" " Kuga" 2018 16995 "Manual" 32858 "Diesel" 145 54.3 2
"155" " Fiesta" 2018 11995 "Manual" 31593 "Petrol" 145 65.7 1
"157" " Kuga" 2019 20495 "Manual" 12034 "Diesel" 145 47.9 2
"158" " Focus" 2018 19995 "Manual" 10923 "Diesel" 145 67.3 2
"159" " Kuga" 2019 19995 "Manual" 10171 "Diesel" 145 38.2 2
"161" " EcoSport" 2019 18995 "Manual" 2291 "Petrol" 145 52.3 1
"165" " Fiesta" 2019 11498 "Manual" 17708 "Petrol" 145 58.9 1
